Description,Price,Auction,Lot number,Condition,Damage,Mileage,Date of sale
Volvo S60 T5 2012 Gray 2.4L 5 vin: YV1622FS8C2106756,4300,Copart,61185729,Run And Drive,Minor Dent/Scratches,68325 miles (Actual),30.10.2020
Volvo Xc90 3.2 2008 Black 3.2L 6 vin: YV4CN982081464336,1200,Copart,54351120,Run And Drive,Minor Dent/Scratches,184920 miles (Actual),29.10.2020
Volvo Xc60 T6 2011 White 3.0L 6 vin: YV4902DZ9B2171037,2950,Copart,53649780,Run And Drive,Minor Dent/Scratches,216115 miles (Actual),29.10.2020
Volvo Xc90 3.2 2009 White 3.2L 6 vin: YV4CZ982791518608,2350,Copart,53525110,Run And Drive,Front End,182154 miles (Actual),29.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CZ982781473880,1150,Copart,53484930,Run And Drive,Minor Dent/Scratches,174124 miles (Actual),30.10.2020
Volvo Xc70 3.2 2013 Black 3.2L 6 vin: YV4952BZ5D1158301,2050,Copart,52841450,Run And Drive,Front End,93635 miles (Actual),30.10.2020
Volvo Xc60 T6 2010 Brown 3.0L 6 vin: YV4992DZ4A2124244,2300,Copart,52730710,Unknown,Vandalism,0 miles (Exempt),30.10.2020
Volvo C30 T5 2008 Red 2.5L 5 vin: YV1MK672X82050582,500,Copart,52605130,Run And Drive,Mechanical,185411 miles (Exempt),30.10.2020
Volvo C70 T5 2009 Silver 2.5L 5 vin: YV1MC67249J076163,1650,Copart,52562820,Engine Start Program,Undercarriage,86951 mile (Actual),30.10.2020
Volvo S80 T6 Turbo 2008 Green 3.0L 6 vin: YV1AH992981057528,675,Copart,52491590,Enhanced Vehicles,Mechanical,147674 miles (Actual),29.10.2020
Volvo V50 2.4I 2010 Silver 2.4L 5 vin: YV1382MW3A2540202,1300,Copart,52237370,Run And Drive,Side,138643 miles (Actual),30.10.2020
Volvo Xc60 T5 Inscription 2019 White 2.0L 4 vin: LYV102RL7KB284150,23900,Copart,52121320,Run And Drive,Front End,15145 miles (Actual),29.10.2020
Volvo S60 T5 2012 Black 2.4L 5 vin: YV1622FS7C2040149,1300,Copart,51734750,Enhanced Vehicles,Front End,102193 miles (Actual),30.10.2020
Volvo S60 T6 2013 Black 3.0L 6 vin: YV1902FH6D2220134,7300,Copart,51702960,Run And Drive,Front End,47171 mile (Actual),30.10.2020
Volvo Xc90 3.2 2011 Black 3.2L 6 vin: YV4952CZ3B1605641,4100,Copart,51541820,Run And Drive,Side,88821 mile (Actual),29.10.2020
Volvo Xc90 T5 2017 Brown 2.0L 4 vin: YV4102XK0H1181207,9300,Copart,51213930,Enhanced Vehicles,Front End,0 miles (Not Actual),30.10.2020
Volvo V70 3.2 2008 Gold 3.2L 6 vin: YV1BW982781016956,275,Copart,51027310,Enhanced Vehicles,Front End,320586 miles (Actual),30.10.2020
Volvo S60 2016 Black 2.0L 4 vin: YV126MFJ3G2405485,2500,Copart,50970460,Run And Drive,All Over,124946 miles (Actual),30.10.2020
Volvo Xc60 T5 Premier 2015 White 2.0L 4 vin: YV440MDB6F2612976,8600,Copart,50902530,Run And Drive,Front End,109018 miles (Actual),30.10.2020
Volvo Xc70 3.2 2013 Black 3.2L 6 vin: YV4952BZ6D1146416,2550,Copart,49652750,Enhanced Vehicles,Water/Flood,0 miles (Not Actual),30.10.2020
Volvo Xc60 T5 R-Design 2019 Gray 2.0L 4 vin: LYV102RM2KB274120,21100,Copart,49038410,Enhanced Vehicles,Rear End,0 miles (Not Actual),30.10.2020
Volvo Xc90 3.2 2008 White 3.2L 6 vin: YV4CZ982081431566,600,Copart,49010240,Enhanced Vehicles,Front End,0 miles (Not Actual),30.10.2020
Volvo V90 Cross Country T5 Momentum 2018 Black 2.0L 4 vin: YV4102NK7J1022905,18900,Copart,48218900,Enhanced Vehicles,Water/Flood,0 miles (Not Actual),30.10.2020
Volvo Xc90 T5 Momentum 2020 Gray 2.0L 4 vin: YV4102CK9L1562519,9300,Copart,46706780,Enhanced Vehicles,All Over,0 miles (Not Actual),30.10.2020
Volvo Xc70 3.2 2011 Blue 3.2L 6 vin: YV4952BZ8B1114323,450,Copart,46691920,Enhanced Vehicles,Front End,80903 miles (Actual),30.10.2020
Volvo Xc90 3.2 2010 Black 3.2L 6 vin: YV4982CZ7A1532330,900,Copart,45899800,Enhanced Vehicles,Rollover,157250 miles (Actual),30.10.2020
Volvo S60 2.5T 2008 Red 2.5L 5 vin: YV1RS592382685656,450,Copart,45313370,Run And Drive,Front End,150281 mile (Actual),29.10.2020
Volvo S60 Premier 2016 Gray 2.5L 5 vin: YV1612TK8G2398034,2200,Copart,45066140,Unknown,Top/Roof,0 miles (Not Actual),30.10.2020
Volvo S60 T5 2014 Blue 2.5L 5 vin: YV1612FS3E1298423,1850,Copart,29168309,Enhanced Vehicles,Front End,0 miles (Not Actual),30.10.2020
